year,district,constituency,enp
2004,Mulanje,Mulanje South West,2.834214924536142
2004,Mulanje,Mulanje West,2.1807990388340834
2004,Mwanza,Mwanza Central,4.277260740403985
2004,Mwanza,Mwanza West,5.189680783252594
2004,Mzimba,Mzimba Central,3.1983223484941363
2004,Mzimba,Mzimba East,2.9031373723001233
2004,Mzimba,Mzimba Hora,5.889090205168161
2004,Mzimba,Mzimba Luwelezi,4.617802501006344
2004,Mzimba,Mzimba North East,6.359759259822755
2004,Mzimba,Mzimba Solora,5.78454884771659
2004,Mzimba,Mzimba South,4.119912927123664
2004,Mzimba,Mzimba South West,3.357823067098077
2004,Mzimba,Mzimba West,2.661288440400551
2004,Mzimba,Mzuzu City,5.160388814805777
2004,Neno,Neno North,2.873296361261255
2004,Neno,Neno South,6.128101792654494
2004,Nkhata Bay,Nkhata-Bay Centra,2.9738523976391704
2004,Nkhata Bay,Nkhata-Bay North,11.782822710010032
2004,Nkhata Bay,Nkhata-Bay South,5.552282186362054
2004,Nkhata Bay,Nkhata-Bay West,4.7287078971774115
2004,Nkhata Bay,Nkhatabay South,1.7853879535118777
2004,Nkhotakota,Nkhotakota Central,2.877972871735242
2004,Nkhotakota,Nkhotakota North,3.9876712196837145
2004,Nkhotakota,Nkhotakota North-East,4.676664714571946
2004,Nkhotakota,Nkhotakota South,2.9093594485058327
2004,Nkhotakota,Nkhotakota South East,3.5355559945538295
2004,Nsanje,Nsanje Central,1.9811790091243524
2004,Nsanje,Nsanje Lalanje,2.0849251126004726
2004,Nsanje,Nsanje North,2.0065611357291755
2004,Nsanje,Nsanje South,2.9206578305328987
2004,Nsanje,Nsanje South-Wes,2.3829423469356437
2004,Ntcheu,Ntcheu Bwanje North,5.018298906445862
2004,Ntcheu,Ntcheu Bwanje South,2.6852023449667657
2004,Ntcheu,Ntcheu Central,3.9428800074063157
2004,Ntcheu,Ntcheu North,3.579733380563976
2004,Ntcheu,Ntcheu North-East,3.1071251341373403
2004,Ntcheu,Ntcheu West,4.61253034274271
2004,Ntchisi,Ntchisi East,2.0296187781283113
2004,Ntchisi,Ntchisi North,3.323887953009021
2004,Ntchisi,Ntchisi North-East,3.1259597755912663
2004,Ntchisi,Ntchisi South,1.7335463841820482
2004,Phalombe,Phalombe Central,2.0298671412641176
2004,Phalombe,Phalombe East,2.363035629399562
2004,Phalombe,Phalombe North,3.137307219183195
2004,Phalombe,Phalombe North E,2.916791173091979
2004,Phalombe,Phalombe South,3.08099533403794
